state_po,special,party_simplified,candidate,candidatevotes,totalvotes
AK,False,DEMOCRAT,MARK BEGICH,125739,282529
AK,False,LIBERTARIAN,WILLIAM TOIEN,5402,282529
AK,False,OTHER,BILL WALKER,5757,282529
AK,False,REPUBLICAN,MIKE DUNLEAVY,145631,282529
AL,False,DEMOCRAT,WALT MADDOX,694011,1715287
AL,False,REPUBLICAN,KAY IVEY,1021276,1715287
AR,False,DEMOCRAT,JARED K HENDERSON,283218,891509
AR,False,LIBERTARIAN,MARK WEST,25885,891509
AR,False,REPUBLICAN,GOVERNOR ASA HUTCHINSON,582406,891509
AZ,False,DEMOCRAT,DAVID GARCIA,994341,2376166
AZ,False,OTHER,ANGEL TORRES,50962,2376166
AZ,False,REPUBLICAN,DOUG DUCEY,1330863,2376166
CA,False,DEMOCRAT,GAVIN NEWSOM,7721410,12464235
CA,False,REPUBLICAN,JOHN H COX,4742825,12464235
CO,False,DEMOCRAT,JARED POLIS / DIANNE PRIMAVERA,1348888,2525062
CO,False,LIBERTARIAN,SCOTT HELKER / MICHELE POAGUE,69519,2525062
CO,False,OTHER,BILL HAMMONS / ERIC BODENSTAB,25854,2525062
CO,False,REPUBLICAN,WALKER STAPLETON / LANG SIAS,1080801,2525062
CT,False,DEMOCRAT,NED LAMONT AND SUSAN BYSIEWICZ,676649,1406705
CT,False,LIBERTARIAN,RODNEY HANSCOMB AND JEFFREY THIBEAULT,6086,1406705
CT,False,OTHER,BOB STEFANOWSKI AND JOE MARKLEY,25382,1406705
CT,False,OTHER,MARK STEWART GREENSTEIN AND JOHN DEMITRUS,1237,1406705
CT,False,OTHER,NED LAMONT AND SUSAN BYSIEWICZ,17860,1406705
CT,False,OTHER,OZ GRIEBEL AND MONTE E FRANK,54741,1406705
CT,False,REPUBLICAN,BOB STEFANOWSKI AND JOE MARKLEY,624750,1406705
FL,False,DEMOCRAT,ANDREW GILLUM,4044092,8221200
FL,False,OTHER,BRUCE STANLEY,14506,8221200
FL,False,OTHER,DARCY G RICHARDSON,47143,8221200
FL,False,OTHER,"KYLE ""KC"" GIBSON",24400,8221200
FL,False,OTHER,RYAN CHRISTOPHER FOLEY,14538,8221200
FL,False,REPUBLICAN,RON DESANTIS,4076521,8221200
GA,False,DEMOCRAT,STACEY ABRAMS,1923685,3939328
GA,False,LIBERTARIAN,TED METZ,37235,3939328
GA,False,REPUBLICAN,BRIAN KEMP,1978408,3939328
HI,False,DEMOCRAT,IGE / GREEN,244934,390843
HI,False,NONPARTISAN,TERUYA / ROBOTTI,4067,390843
HI,False,OTHER,BREWER / ING,10123,390843
HI,False,REPUBLICAN,TUPOLA / KERNS,131719,390843
ID,False,DEMOCRAT,PAULETTE JORDAN,231081,605080
ID,False,LIBERTARIAN,"BEV ""ANGEL"" BOECK",6551,605080
ID,False,OTHER,WALTER L BAYES,5787,605080
ID,False,REPUBLICAN,BRAD LITTLE,361661,605080
IL,False,DEMOCRAT,JB PRITZKER,2479746,4547542
IL,False,LIBERTARIAN,GRAYSON KASH JACKSON,109518,4547542
IL,False,OTHER,"WILLIAM ""SAM"" MCCANN",192527,4547542
IL,False,REPUBLICAN,BRUCE RAUNER,1765751,4547542
KS,False,DEMOCRAT,LAURA KELLY/LYNN ROGERS,506509,1054622
KS,False,LIBERTARIAN,JEFF CALDWELL/MARY GERLT,20009,1054622
KS,False,OTHER,GREG ORMAN/JOHN DOLL,68498,1054622
KS,False,OTHER,RICK KLOOS/NATHANIEL KLOOS,6576,1054622
KS,False,REPUBLICAN,KRIS KOBACH/WINK HARTMAN,453030,1054622
MA,False,DEMOCRAT,GONZALEZ AND PALFREY,885770,2667111
MA,False,REPUBLICAN,BAKER AND POLITO,1781341,2667111
MD,False,DEMOCRAT,BEN JEALOUS,1002639,2302699
MD,False,LIBERTARIAN,SHAWN QUINN,13241,2302699
MD,False,OTHER,IAN SCHLAKMAN,11175,2302699
MD,False,REPUBLICAN,LARRY HOGAN,1275644,2302699
ME,False,DEMOCRAT,JANET T MILLS,320962,630541
ME,False,OTHER,TERESEA M HAYES,37268,630541
ME,False,REPUBLICAN,SHAWN H MOODY,272311,630541
MI,False,DEMOCRAT,GRETCHEN WHITMER,2266193,4250553
MI,False,LIBERTARIAN,BILL GELINEAU,56606,4250553
MI,False,OTHER,JENNIFER V KURLAND,28799,4250553
MI,False,OTHER,KEITH BUTKOVICH,10202,4250553
MI,False,OTHER,TODD SCHLEIGER,29219,4250553
MI,False,REPUBLICAN,BILL SCHUETTE,1859534,4250553
MN,False,DEMOCRAT,TIM WALZ AND PEGGY FLANAGAN,1393096,2586203
MN,False,LIBERTARIAN,JOSH WELTER AND MARY O'CONNOR,26735,2586203
MN,False,OTHER,CHRIS WRIGHT AND JUDITH SCHWARTZBACKER,68667,2586203
MN,False,REPUBLICAN,JEFF JOHNSON AND DONNA BERGSTROM,1097705,2586203
NE,False,DEMOCRAT,BOB KRIST AND LYNNE M WALZ,286169,697981
NE,False,REPUBLICAN,PETE RICKETTS AND MIKE FOLEY,411812,697981
NH,False,DEMOCRAT,MOLLY KELLY,262359,573602
NH,False,LIBERTARIAN,JILLETTA JARVIS,8197,573602
NH,False,OTHER,WRITEIN,282,573602
NH,False,REPUBLICAN,CHRIS SUNUNU,302764,573602
NM,False,DEMOCRAT,MICHELLE LUJAN GRISHAM AND HOWIE C MORALES,398368,696459
NM,False,REPUBLICAN,STEVE PEARCE AND MICHELLE GARCIA HOLMES,298091,696459
NV,False,DEMOCRAT,STEVE SISOLAK,480007,971799
NV,False,LIBERTARIAN,JARED LORD,8640,971799
NV,False,NONPARTISAN,NONE OF THESE CANDIDATES,18865,971799
NV,False,NONPARTISAN,RYAN BUNDY,13891,971799
NV,False,OTHER,RUSSELL BEST,10076,971799
NV,False,REPUBLICAN,ADAM PAUL LAXALT,440320,971799
OH,False,DEMOCRAT,RICHARD CORDRAY AND BETTY SUTTON,2070046,4435462
OH,False,LIBERTARIAN,TRAVIS M IRVINE AND J TODD GRAYSON,80055,4435462
OH,False,OTHER,CONSTANCE GADELL-NEWTON AND BRETT R JOSEPH,49536,4435462
OH,False,REPUBLICAN,MIKE DEWINE AND JON HUSTED,2235825,4435462
OK,False,DEMOCRAT,DREW EDMONDSON,500973,1186385
OK,False,LIBERTARIAN,CHRIS POWELL,40833,1186385
OK,False,REPUBLICAN,KEVIN STITT,644579,1186385
OR,False,DEMOCRAT,KATE BROWN,940114,1877086
OR,False,DEMOCRAT,PATRICK STARNES,53856,1877086
OR,False,OTHER,AARON AUER,21347,1877086
OR,False,OTHER,CHRIS HENRY,11090,1877086
OR,False,OTHER,NICK CHEN,29085,1877086
OR,False,REPUBLICAN,KNUTE BUEHLER,821594,1877086
PA,False,DEMOCRAT,THOMAS W WOLF,2895848,5013046
PA,False,LIBERTARIAN,KENNETH V KRAWCHUK,49232,5013046
PA,False,OTHER,PAUL GLOVER,27797,5013046
PA,False,REPUBLICAN,SCOTT R WAGNER,2040169,5013046
RI,False,DEMOCRAT,GINA M RAIMONDO,198122,376401
RI,False,NONPARTISAN,WRITEIN,1246,376401
RI,False,OTHER,ANNE ARMSTRONG,4191,376401
RI,False,OTHER,JOSEPH A TRILLO,16532,376401
RI,False,OTHER,LUIS DANIEL MUNOZ,6223,376401
RI,False,OTHER,WILLIAM H GILBERT,10155,376401
RI,False,REPUBLICAN,ALLAN W FUNG,139932,376401
SC,False,DEMOCRAT,JAMES SMITH / MANDY POWERS NORRELL,784182,1707569
SC,False,NONPARTISAN,WRITEIN,2045,1707569
SC,False,REPUBLICAN,HENRY MCMASTER / PAMELA EVETTE,921342,1707569
SD,False,DEMOCRAT,BILLIE SUTTON AND MICHELLE LAVALLEE,161171,338715
SD,False,LIBERTARIAN,KURT EVANS AND RICHARD SHELATZ,4838,338715
SD,False,REPUBLICAN,KRISTI NOEM AND LARRY RHODEN,172706,338715
TN,False,DEMOCRAT,KARL DEAN,864863,2243283
TN,False,OTHER,ALFRED SHAWN RAPOZA,800,2243283
TN,False,OTHER,CHAD RIDEN,1096,2243283
TN,False,OTHER,CORY KING,1502,2243283
TN,False,OTHER,GABRIEL FANCHER,869,2243283
TN,False,OTHER,GEORGE BLACKWELL SMITH IV,1550,2243283
TN,False,OTHER,HEATHER SCOTT,2969,2243283
TN,False,OTHER,JARON D WEIDNER,588,2243283
TN,False,OTHER,JEREMY ALLEN STEPHENSON,613,2243283
TN,False,OTHER,JESSIE D MCDONALD,755,2243283
TN,False,OTHER,JOE B WILMOTH,2444,2243283
TN,False,OTHER,JUSTIN CORNETT,1217,2243283
TN,False,OTHER,MARK COONRIPPY BROWN,2841,2243283
TN,False,OTHER,MARK WRIGHT,4687,2243283
TN,False,OTHER,MATTHEW KOCH,652,2243283
TN,False,OTHER,MIKE TOEWS,726,2243283
TN,False,OTHER,PATRICK WHITLOCK,3631,2243283
TN,False,OTHER,RICK TYLER,981,2243283
TN,False,OTHER,ROBERT SAWYERS SR,1059,2243283
TN,False,OTHER,SEAN BRUCE FLEMING,814,2243283
TN,False,OTHER,SHERRY L CLARK,5198,2243283
TN,False,OTHER,TOMMY RAY MCANALLY,609,2243283
TN,False,OTHER,TONEY RANDALL MITCHELL,739,2243283
TN,False,OTHER,TRACY C YASTE TISDALE,1396,2243283
TN,False,OTHER,VINNIE VINEYARD,1012,2243283
TN,False,OTHER,WILLIAM ANDREW HELMSTETTER,496,2243283
TN,False,OTHER,YVONNE NEUBERT,3070,2243283
TN,False,REPUBLICAN,BILL LEE,1336106,2243283
TX,False,DEMOCRAT,VALDEZ,3545673,8341613
TX,False,LIBERTARIAN,TIPPETTS,140596,8341613
TX,False,REPUBLICAN,ABBOTT,4655344,8341613
VT,False,DEMOCRAT,CHRISTINE HALLQUIST,110335,272960
VT,False,OTHER,CHARLES LARAMIE,2287,272960
VT,False,OTHER,CRIS ERICSON,2129,272960
VT,False,OTHER,"EMILY ""EM"" PEYTON",1839,272960
VT,False,OTHER,STEPHEN MARX,1855,272960
VT,False,OTHER,TREVOR BARLOW,3266,272960
VT,False,REPUBLICAN,PHIL SCOTT,151249,272960
WI,False,DEMOCRAT,PAUL BOUCHER,1,3714566
WI,False,DEMOCRAT,TONY EVERS,1851715,3714566
WI,False,LIBERTARIAN,PHILLIP ANDERSON,28620,3714566
WI,False,OTHER,ARNIE ENZ,3749,3714566
WI,False,OTHER,MAGGIE TURNBULL,26504,3714566
WI,False,OTHER,MARK S GRIMEK,3,3714566
WI,False,OTHER,MICHAEL J WHITE,15288,3714566
WI,False,OTHER,RICHARD MICHAEL TURTENWALD,2,3714566
WI,False,OTHER,ROBBIE HOFFMAN,1,3714566
WI,False,REPUBLICAN,RYAN CASON,5,3714566
WI,False,REPUBLICAN,SCOTT WALKER,1788678,3714566
WY,False,DEMOCRAT,MARY A THRONE,55965,202138
WY,False,LIBERTARIAN,LAWRENCE GERARD STRUEMPF,3010,202138
WY,False,OTHER,"REX ""T-REX"" RAMMELL",6751,202138
WY,False,REPUBLICAN,MARK GORDON,136412,202138
